state,county_fips,week,mask_user_pct,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population
California,6111,2020-03-01 to 2020-03-07,0.0094466936572199,No,41.0588654223149,0.0,0.909090909090909,2.03355531757458,0.733788395904437,96.88,741,7,446.7,1,0,846006
Texas,48037,2020-03-01 to 2020-03-07,0.0,No,73.8294215267924,0.0,0.909090909090909,6.23411442972814,0.733788395904437,64.58,34,0,104.6,1,0,93245
Mississippi,28075,2020-03-01 to 2020-03-07,0.0,No,61.6977952534665,0.0,0.909090909090909,6.73052276559865,0.733788395904437,51.74,25,0,114.1,1,0,74125
New York,36059,2020-03-01 to 2020-03-07,0.0148232611174458,No,47.2677825344524,0.0,0.909090909090909,3.33681178901692,0.733788395904437,99.81,877,13,4704.8,1,0,1356924
Maryland,24009,2020-03-01 to 2020-03-07,0.0277777777777778,No,59.68705410047,0.0,0.909090909090909,2.46527965414753,0.733788395904437,61.29,36,1,416.3,1,0,92525
California,6083,2020-03-01 to 2020-03-07,0.0031545741324921,No,34.9278564929264,0.0,0.909090909090909,1.66450540762689,0.733788395904437,94.98,317,1,155.0,1,0,446499
Pennsylvania,42111,2020-03-01 to 2020-03-07,0.0,No,78.7780146338942,0.0,0.909090909090909,1.77679142783231,0.733788395904437,29.2,11,0,72.4,1,0,73447
Ohio,39099,2020-03-01 to 2020-03-07,0.0091743119266055,No,48.4494843847181,0.0,0.909090909090909,3.49741782292518,0.733788395904437,84.84,109,1,580.2,1,0,228683
Ohio,39143,2020-03-01 to 2020-03-07,0.0,No,62.2429979051863,0.0,0.909090909090909,2.79913872654568,0.733788395904437,55.86,23,0,149.2,1,0,58518
Tennessee,47009,2020-03-01 to 2020-03-07,0.0,No,75.5710531635355,0.0,0.909090909090909,4.13786366915124,0.733788395904437,67.37,75,0,220.2,1,0,133088
Florida,12069,2020-03-01 to 2020-03-07,0.0,No,61.9436422774177,0.0,0.909090909090909,4.11284655070032,0.733788395904437,80.75,195,0,316.6,1,0,367118
Texas,48061,2020-03-01 to 2020-03-07,0.0029239766081871,No,33.1624432400881,0.0,0.909090909090909,4.68944591091376,0.733788395904437,91.58,342,1,456.0,1,0,423163
Kentucky,21013,2020-03-01 to 2020-03-07,0.0,No,81.8641923239086,0.0,0.909090909090909,3.62246465888138,0.733788395904437,37.52,3,0,79.9,1,0,26032
Texas,48185,2020-03-01 to 2020-03-07,0.0,No,76.3041365158199,0.0,0.909090909090909,2.28531855955679,0.733788395904437,31.1,7,0,33.8,1,0,28880
Georgia,13229,2020-03-01 to 2020-03-07,0.0,No,87.4652970572043,0.0,0.909090909090909,2.82558438222451,0.733788395904437,20.65,2,0,59.3,1,0,19465
Iowa,19163,2020-03-01 to 2020-03-07,0.0,No,49.232222712105,0.0,0.909090909090909,5.07566076684225,0.733788395904437,86.49,92,0,360.7,1,0,172943
Pennsylvania,42011,2020-03-01 to 2020-03-07,0.0,No,55.3264829463255,0.0,0.909090909090909,2.69040088896487,0.733788395904437,76.26,158,0,480.4,1,0,421164
Maryland,24510,2020-03-01 to 2020-03-07,0.0034207525655644,No,11.2902905290345,0.0,0.909090909090909,1.44753913292558,0.733788395904437,100.0,877,3,7671.5,1,0,593490
Florida,12097,2020-03-01 to 2020-03-07,0.0031347962382445,No,37.0756756357783,0.0,0.909090909090909,5.14675942312861,0.733788395904437,92.18,638,2,202.4,1,0,375751
New York,36079,2020-03-01 to 2020-03-07,0.0,No,59.2456107407867,0.0,0.909090909090909,1.60089503661513,0.733788395904437,79.45,43,0,432.9,1,0,98320
North Carolina,37147,2020-03-01 to 2020-03-07,0.0,No,46.2078836103762,0.0,0.909090909090909,3.26542806873887,0.733788395904437,74.56,33,0,257.9,1,0,180742
Louisiana,22087,2020-03-01 to 2020-03-07,0.0054559625876851,No,67.3645401277248,0.0,0.909090909090909,3.27025654051308,0.733788395904437,95.75,1283,7,95.1,1,0,47244
Ohio,39083,2020-03-01 to 2020-03-07,0.0,No,69.9909509086701,0.0,0.909090909090909,2.34106735984083,0.733788395904437,44.3,11,0,115.9,1,0,62322
Texas,48265,2020-03-01 to 2020-03-07,0.0,No,79.10227120013,0.0,0.909090909090909,4.34030418250951,0.733788395904437,58.9,23,0,45.0,1,0,52600
Minnesota,27111,2020-03-01 to 2020-03-07,0.0,No,69.1558227095394,0.0,0.909090909090909,1.52521022707929,0.733788395904437,26.41,9,0,29.1,1,0,58746
Montana,30093,2020-03-01 to 2020-03-07,0.0,No,42.2518077988785,0.0,0.909090909090909,2.49176571674066,0.733788395904437,88.56,7,0,47.6,1,0,34915
Florida,12103,2020-03-01 to 2020-03-07,0.0073260073260073,No,50.573957841268,0.0,0.909090909090909,3.85201580314176,0.733788395904437,99.72,819,6,3347.5,1,0,974996
Georgia,13087,2020-03-01 to 2020-03-07,0.0,No,59.4185701572521,0.0,0.909090909090909,5.79457657930617,0.733788395904437,43.52,8,0,46.6,1,0,26404
California,6037,2020-03-01 to 2020-03-07,0.0070626812965065,No,24.672690136065,0.0,0.909090909090909,2.12351556766951,0.733788395904437,99.39,15858,112,2419.6,1,0,10039107
Michigan,26161,2020-03-01 to 2020-03-07,0.0056980056980057,No,28.2210136801489,0.0,0.909090909090909,1.94504367507161,0.733788395904437,83.55,351,2,488.4,1,0,367601
Colorado,8067,2020-03-01 to 2020-03-07,0.0416666666666667,No,44.9065571999414,0.0,0.909090909090909,1.59548923000302,0.733788395904437,40.05,24,1,30.3,1,0,56221
Oklahoma,40031,2020-03-01 to 2020-03-07,0.0,No,62.6078713389281,0.0,0.909090909090909,4.02404988861191,0.733788395904437,78.21,48,0,116.1,1,0,120749
Florida,12075,2020-03-01 to 2020-03-07,0.0,No,72.9906095814378,0.0,0.909090909090909,2.86967207189842,0.733788395904437,7.95,2,0,36.5,1,0,41503
New Jersey,34023,2020-03-01 to 2020-03-07,0.0128205128205128,No,39.7932580658837,0.0,0.909090909090909,2.34176340687124,0.733788395904437,99.33,546,7,2621.6,1,0,825062
Oregon,41071,2020-03-01 to 2020-03-07,0.0,No,54.795750048501,0.0,0.909090909090909,2.14939309056956,0.733788395904437,77.4,34,0,138.6,1,0,107100
North Carolina,37097,2020-03-01 to 2020-03-07,0.0119047619047619,No,68.9065581069952,0.0,0.909090909090909,4.97508333058315,0.733788395904437,62.09,84,1,277.8,1,0,181806
Virginia,51089,2020-03-01 to 2020-03-07,0.0,No,64.9705203794187,0.0,0.909090909090909,3.00848547184366,0.733788395904437,39.28,6,0,141.6,1,0,50557
Florida,12035,2020-03-01 to 2020-03-07,0.0227272727272727,No,60.5925899371074,0.0,0.909090909090909,3.2116509241317,0.733788395904437,89.68,44,1,197.1,1,0,115081
Pennsylvania,42081,2020-03-01 to 2020-03-07,0.0,No,73.2939402078089,0.0,0.909090909090909,2.32482193134979,0.733788395904437,63.72,19,0,94.5,1,0,113299
Washington,53067,2020-03-01 to 2020-03-07,0.02,No,41.5511444342509,0.0,0.909090909090909,2.81169975493571,0.733788395904437,79.01,150,3,349.4,1,0,290536
New York,36115,2020-03-01 to 2020-03-07,0.0,No,60.7863670982453,0.0,0.909090909090909,1.27442650807137,0.733788395904437,32.1,7,0,76.1,1,0,61204
Iowa,19065,2020-03-01 to 2020-03-07,0.0,No,60.3975369990442,0.0,0.909090909090909,1.80152671755725,0.733788395904437,29.42,5,0,28.6,1,0,19650
Kentucky,21093,2020-03-01 to 2020-03-07,0.0,No,65.9187564159128,0.0,0.909090909090909,5.09381928297194,0.733788395904437,65.79,40,0,169.3,1,0,110958
Texas,48167,2020-03-01 to 2020-03-07,0.0150753768844221,No,61.7843435318885,0.0,0.909090909090909,5.28031004942436,0.733788395904437,93.85,199,3,769.9,1,0,342139
California,6045,2020-03-01 to 2020-03-07,0.0,No,34.0874379534166,0.0,0.909090909090909,1.65765599603454,0.733788395904437,54.77,14,0,25.1,1,0,86749
Pennsylvania,42039,2020-03-01 to 2020-03-07,0.0769230769230769,No,70.0676883405835,0.0,0.909090909090909,1.7121790402817,0.733788395904437,36.3,13,1,87.7,1,0,84629
Kentucky,21223,2020-03-01 to 2020-03-07,0.0,No,75.9178082191679,0.0,0.909090909090909,1.51103765789163,0.733788395904437,5.3,1,0,58.1,1,0,8471
New Mexico,35013,2020-03-01 to 2020-03-07,0.0,No,40.0635397043604,0.0,0.909090909090909,1.59398702995027,0.733788395904437,80.71,132,0,55.0,1,0,218195
Nebraska,31109,2020-03-01 to 2020-03-07,0.0,No,49.9681789253303,0.0,0.909090909090909,4.09006863267417,0.733788395904437,91.75,335,0,340.8,1,0,319090
Texas,48221,2020-03-01 to 2020-03-07,0.0,No,84.2281614632537,0.0,0.909090909090909,4.59744009863245,0.733788395904437,67.15,33,0,121.7,1,0,61643
Georgia,13285,2020-03-01 to 2020-03-07,0.0,No,61.9770206022038,0.0,0.909090909090909,6.19547495781013,0.733788395904437,55.7,25,0,161.9,1,0,69922
North Carolina,37173,2020-03-01 to 2020-03-07,0.0,No,61.9362702420296,0.0,0.909090909090909,3.79090463177072,0.733788395904437,0.0,2,0,26.5,1,0,14271
